molecule_chembl_id,canonical_smiles,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3823268,COc1cc(P(C)(C)=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,9.958607314841776,active,445.84700000000015,3.9727000000000015,3.0,7.0
CHEMBL3652826,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.744727494896694,active,531.0600000000001,5.522900000000005,1.0,8.0
CHEMBL3656563,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C,9.721246399047173,active,530.0760000000002,5.361100000000005,1.0,8.0
CHEMBL3656576,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.721246399047173,active,516.0490000000002,4.800100000000004,1.0,8.0
CHEMBL3656637,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(Cl)cc2)CC3)n1,9.69897000433602,active,435.91900000000015,3.882600000000002,1.0,8.0
CHEMBL3656635,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3sccc3Cl)CC4)cn2)CC1,9.69897000433602,active,509.03900000000027,4.481100000000003,1.0,9.0
CHEMBL3661006,CCOc1cc(N2CCN(C(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2,9.585026652029182,active,537.7120000000001,5.239200000000005,1.0,8.0
CHEMBL3660916,COc1cc(C(=O)N[C@H]2CC[C@H](N3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.568636235841012,active,628.1770000000001,5.421500000000004,2.0,9.0
CHEMBL3660996,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1sccc1Cl)CC2,9.522878745280336,active,564.115,4.933800000000004,2.0,9.0
CHEMBL476259,CCCN1CCC(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)CC1,9.522878745280336,active,517.6090000000003,5.281100000000003,4.0,7.0
CHEMBL3656608,COc1ccc(-c2c3c(nn2C)CCc2cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc2-3)c(Cl)c1,9.522878745280336,active,546.0750000000004,4.808700000000004,1.0,9.0
