"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4470501";"";"0";"545.08";"0";"2.85";"5";"C[N+](C)(C)CCc1cc(I)c(O)c(I)c1.O=C([O-])C(F)(F)F";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4321671";"Cytotoxicity in human MIAPaCa2 cells incubated for 24 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4316651";"1";"Scientific Literature";"J Nat Prod";"2019";"CHEMBL3308500";""
"CHEMBL4060096";"";"0";"266.34";"0";"4.34";"16b";"CCCc1ccc(C2CC=CC(=O)O2)c2ccccc12";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4057053";"Antiproliferative activity against human MIAPaCa2 cells after 48 hrs in presence of type 1 collagen coated surface by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4052751";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"CHEMBL3308500";""
"CHEMBL1092797";"DIHYDROCELASTROL";"0";"452.64";"1";"6.64";"2";"Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C";"IC50";"'='";"720.0";"nM";"6.14";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4133423";"Antiproliferative activity against human MIAPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4130422";"1";"Scientific Literature";"Eur J Med Chem";"2017";"CHEMBL3308500";""
"CHEMBL2376666";"";"0";"560.32";"1";"3.82";"28";"NC(=O)c1c(Nc2ccc(I)cc2F)cc(F)cc1Oc1cccc(NS(N)(=O)=O)c1";"IC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2379930";"Antiproliferative activity against human MIAPaCa2 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL2375237";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"CHEMBL3308500";""
"CHEMBL507361";"MIRDAMETINIB";"2";"482.20";"0";"2.47";"PD-0325901";"O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F";"IC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2379930";"Antiproliferative activity against human MIAPaCa2 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL2375237";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"CHEMBL3308500";""
"CHEMBL552422";"";"0";"428.49";"0";"2.56";"26";"C#CCn1cc(C(=O)NC(C(=O)NC2CCCC2)c2ccccc2)c(=O)c2cccnc21";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1056016";"Cytotoxicity against human MIAPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1153592";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2009";"CHEMBL3308500";""
"CHEMBL549659";"";"0";"295.73";"0";"4.54";"3f";"Clc1ccc(-c2nnc(-c3c[nH]c4ccccc34)o2)cc1";"IC50";"'='";"6459000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1056722";"Cytotoxicity against human MIAPaCa2 cells by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1154016";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308500";""
"CHEMBL105442";"CI-1040";"2";"478.66";"1";"5.04";"CI-1040";"O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl";"IC50";"'='";"3007.81";"nM";"5.52";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2363427";"SANGER: Inhibition of human MIA-PaCa-2 cell growth in a cell viability assay.";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1201861";"5";"Sanger Institute Genomics of Drug Sensitivity in Cancer";"";"";"CHEMBL3308500";""
"CHEMBL4166721";"";"0";"361.17";"0";"3.68";"6i";"O=C(Nc1cccc(F)c1)c1cc(=O)[nH]c2cc(Br)ccc12";"IC50";"'='";"7500.0";"nM";"5.12";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4156024";"Antiproliferative activity against human MIAPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4152308";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL1142";"4-AMINOPHENOL";"0";"109.13";"0";"0.97";"S34, r1c15";"Nc1ccc(O)cc1";"IC50";"'='";"42250.0";"nM";"4.37";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL900148";"Cytotoxicity against human MIA PaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1138238";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308500";""
"CHEMBL66381";"4-CYANOPHENOL";"0";"119.12";"0";"1.26";"S34, r1c14";"N#Cc1ccc(O)cc1";"IC50";"'='";"73339.0";"nM";"4.13";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL900148";"Cytotoxicity against human MIA PaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1138238";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308500";""
"CHEMBL4203868";"";"0";"381.27";"0";"4.70";"5c";"CCc1c2cc(Br)ccc2n2cc(Cc3ccccc3)[nH]c(=O)c12";"IC50";"'='";"4600.0";"nM";"5.34";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4196282";"Antiproliferative activity human MIAPaCa2 cells after 48 hrs by propidium iodide staining-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4196002";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL4208745";"";"0";"308.77";"0";"4.03";"5d";"O=c1[nH]c(Cc2ccccc2)cn2c1cc1cc(Cl)ccc12";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4196282";"Antiproliferative activity human MIAPaCa2 cells after 48 hrs by propidium iodide staining-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4196002";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL1090090";"VX-702";"2";"404.32";"0";"3.62";"VX-702";"NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F";"IC50";"'='";"68416.84";"nM";"4.17";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2363427";"SANGER: Inhibition of human MIA-PaCa-2 cell growth in a cell viability assay.";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1201861";"5";"Sanger Institute Genomics of Drug Sensitivity in Cancer";"";"";"CHEMBL3308500";""
"CHEMBL569627";"";"0";"396.35";"0";"2.92";"5";"COc1ccc2c(O)c(Cc3c(O)c4ccc(OC)cc4oc3=O)c(=O)oc2c1";"IC50";"'='";"303000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1045772";"Cytotoxicity against human MIAPaCa2 cells assessed as reduction in cell number after 96 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1154679";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308500";""
"CHEMBL570349";"";"0";"330.38";"0";"4.86";"17";"Cc1cc2oc(=O)c(Cc3ccc4ccccc4c3)c(O)c2cc1C";"IC50";"'='";"162000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1045772";"Cytotoxicity against human MIAPaCa2 cells assessed as reduction in cell number after 96 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1154679";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308500";""
"CHEMBL571059";"";"0";"356.42";"1";"5.12";"19";"O=c1oc2c3c(ccc2c(O)c1Cc1cccc2ccccc12)CCCC3";"IC50";"'='";"163000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1045772";"Cytotoxicity against human MIAPaCa2 cells assessed as reduction in cell number after 96 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1154679";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308500";""
"CHEMBL4218912";"";"0";"294.35";"0";"2.50";"3b";"O=C(NC(CO)Cc1ccccc1)c1cc2ccccc2[nH]1";"IC50";"'='";"18600.0";"nM";"4.73";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4196282";"Antiproliferative activity human MIAPaCa2 cells after 48 hrs by propidium iodide staining-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4196002";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL4214496";"";"0";"328.80";"0";"3.15";"3d";"O=C(NC(CO)Cc1ccccc1)c1cc2cc(Cl)ccc2[nH]1";"IC50";"'='";"2600.0";"nM";"5.58";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4196282";"Antiproliferative activity human MIAPaCa2 cells after 48 hrs by propidium iodide staining-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4196002";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL551946";"";"0";"291.31";"0";"3.89";"3e";"COc1ccc(-c2nnc(-c3c[nH]c4ccccc34)o2)cc1";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1056722";"Cytotoxicity against human MIAPaCa2 cells by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1154016";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308500";""
"CHEMBL1172146";"";"0";"304.39";"0";"4.14";"4j";"CN(C)c1ccc(/C=C/C(=O)c2cn(C)c3ccccc23)cc1";"IC50";"'='";"17100.0";"nM";"4.77";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1174632";"Cytotoxicity against human MIAPaCa2 cells after 24 hrs by spectrophotometry";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1177771";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308500";""
"CHEMBL2335137";"";"0";"772.99";"2";"2.02";"3c";"CN1CCN(CCCNc2cc3c(=O)n(CC4CCOCC4)c(=O)c4c(NCCCN5CCN(C)CC5)cc5c(=O)n(CC6CCOCC6)c(=O)c2c5c34)CC1";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2339448";"Cytotoxicity against human MIAPaCa2 cells assessed as growth inhibition after 96 hrs by SRB assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL2331400";"1";"Scientific Literature";"J. Med. Chem.";"2013";"CHEMBL3308500";""
"CHEMBL3216239";"";"0";"502.50";"0";"4.39";"3b";"Cl.Cl.c1cc(-c2ccc(-c3nc4ccc(C5=NCCN5)cc4s3)s2)ccc1C1=NCCN1";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1068145";"Antitumor activity against human MIAPaCa2 cells assessed as inhibition of cell proliferation after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1157611";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308500";""
"CHEMBL2180984";"";"0";"1566.64";"None";"None";"11";"CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCc3ccc(CN4C(=O)[C@H]5CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NC[C@H]4C(=O)N5)cc3)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C";"IC50";"'='";"2.3";"nM";"8.64";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2185906";"Cytotoxicity against human MIAPaCa2 cells after 72 hrs by coulter counter analysis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL2176897";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308500";""
"CHEMBL221828";"";"0";"370.40";"0";"2.97";"14";"COc1ccc(C2=C(c3cc(OC)c(OC)c(OC)c3)C(=O)CC2O)cc1";"IC50";"'>'";"100.0";"ug.mL-1";"";"Outside typical range";"";"UO_0000274";"";"";"";"";"False";"CHEMBL916764";"Cytotoxicity against human MiaPaCa2 cells after 72 hrs by MTT assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1143007";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308500";""
"CHEMBL2261783";"";"0";"180.21";"0";"-0.66";"3";"NC/C=C\Cn1ccc(N)nc1=O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3057616";"Antiproliferative activity against Homo sapiens (human) MIAPaCa2 cells by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL3046040";"1";"Scientific Literature";"Med Chem Res";"2011";"CHEMBL3308500";""
