activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,506177,[],CHEMBL821012,Inhibition of Vascular endothelial growth factor receptor 3,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,,,CHEMBL1135866,Bioorg. Med. Chem. Lett.,2002.0,"{'bei': '19.92', 'le': '0.37', 'lle': '2.17', 'sei': '10.01'}",CHEMBL21156,,CHEMBL21156,6.16,False,http://www.openphacts.org/units/Nanomolar,25954,=,1,True,=,,IC50,nM,,690.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,uM,UO_0000065,,0.69
,686001,[],CHEMBL820849,Inhibition of Vascular endothelial growth factor receptor 3,B,,,BAO_0000190,BAO_0000357,single protein format,CC(O)C(/N=C1/C=C(O)/C(=N\C(C(=O)O)C(C)O)C=C1O)C(=O)O,,,CHEMBL1145828,J. Med. Chem.,2003.0,"{'bei': '16.13', 'le': '0.31', 'lle': '6.09', 'sei': '3.06'}",CHEMBL327725,,CHEMBL327725,5.52,False,http://www.openphacts.org/units/Nanomolar,184695,=,1,True,=,,IC50,nM,,3000.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,uM,UO_0000065,,3.0
,750660,[],CHEMBL820850,Inhibition of Vascular endothelial growth factor receptor 3,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,,,CHEMBL1148336,J. Med. Chem.,2004.0,,CHEMBL115220,,CHEMBL115220,,False,http://www.openphacts.org/units/Nanomolar,215208,>,1,True,>,,IC50,nM,,10000.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,10000.0
,1038864,[],CHEMBL811925,Inhibition of Vascular endothelial growth factor receptor 3,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,,,CHEMBL1145920,J. Med. Chem.,2003.0,"{'bei': '19.06', 'le': '0.35', 'lle': '3.48', 'sei': '13.23'}",CHEMBL150894,CEP-5214,CHEMBL150894,8.4,False,http://www.openphacts.org/units/Nanomolar,294381,=,1,True,=,,IC50,nM,,4.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,4.0
,1152811,[],CHEMBL820848,In vitro inhibition of Vascular endothelial growth factor receptor 3 [VEGFR-3(Flt-4)] expressed in baculovirus,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,,,CHEMBL1135689,J. Med. Chem.,2002.0,"{'bei': '20.86', 'le': '0.39', 'lle': '2.78', 'sei': '14.34'}",CHEMBL153843,,CHEMBL153843,7.75,True,http://www.openphacts.org/units/Nanomolar,300013,=,1,True,=,,IC50,nM,,18.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,18.0
,1175318,[],CHEMBL820848,In vitro inhibition of Vascular endothelial growth factor receptor 3 [VEGFR-3(Flt-4)] expressed in baculovirus,B,,,BAO_0000190,BAO_0000019,assay format,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,,,CHEMBL1135689,J. Med. Chem.,2002.0,"{'bei': '13.95', 'le': '0.30', 'lle': '1.63', 'sei': '11.15'}",CHEMBL24828,VANDETANIB,CHEMBL24828,6.63,False,http://www.openphacts.org/units/Nanomolar,300009,=,1,True,=,,IC50,nM,,233.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,233.0
,1175343,[],CHEMBL820848,In vitro inhibition of Vascular endothelial growth factor receptor 3 [VEGFR-3(Flt-4)] expressed in baculovirus,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,,,CHEMBL1135689,J. Med. Chem.,2002.0,"{'bei': '30.64', 'le': '0.55', 'lle': '4.18', 'sei': '16.26'}",CHEMBL276711,SEMAXANIB,CHEMBL276711,7.3,False,http://www.openphacts.org/units/Nanomolar,300010,=,1,True,=,,IC50,nM,,50.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,50.0
,1180532,[],CHEMBL820848,In vitro inhibition of Vascular endothelial growth factor receptor 3 [VEGFR-3(Flt-4)] expressed in baculovirus,B,,,BAO_0000190,BAO_0000019,assay format,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1.O=C(O)CCC(=O)O,,,CHEMBL1135689,J. Med. Chem.,2002.0,"{'bei': '19.35', 'le': '0.37', 'lle': '1.70', 'sei': '13.23'}",CHEMBL75232,,CHEMBL101253,6.71,False,http://www.openphacts.org/units/Nanomolar,300012,=,1,True,=,,IC50,nM,,195.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,195.0
,1183184,[],CHEMBL820848,In vitro inhibition of Vascular endothelial growth factor receptor 3 [VEGFR-3(Flt-4)] expressed in baculovirus,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Nc1cccc(-c2cncc3ccccc23)c1)c1ccccc1NCc1ccncc1,,,CHEMBL1135689,J. Med. Chem.,2002.0,"{'bei': '16.92', 'le': '0.30', 'lle': '1.12', 'sei': '10.89'}",CHEMBL347537,,CHEMBL347537,7.28,False,http://www.openphacts.org/units/Nanomolar,300011,=,1,True,=,,IC50,nM,,52.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,52.0
,1609151,[],CHEMBL882599,Inhibitory concentration against FLT4 with 4 uM Biotin-Ahx-AEEEYFFLFA-amide for 1 hr at ambient temperature,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,,,CHEMBL1141091,J. Med. Chem.,2005.0,"{'bei': '21.00', 'le': '0.40', 'lle': '3.00', 'sei': '8.49'}",CHEMBL196363,,CHEMBL196363,7.89,True,http://www.openphacts.org/units/Nanomolar,402752,=,1,True,=,,IC50,nM,,13.0,CHEMBL1955,Homo sapiens,Vascular endothelial growth factor receptor 3,9606,,,IC50,nM,UO_0000065,,13.0
