activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,224613,[],CHEMBL714142,Inhibition of Mia PaCa-2 cell clonogenic assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,,,CHEMBL1133502,J. Med. Chem.,2000.0,,CHEMBL428690,ALVOCIDIB,CHEMBL428690,4.44,False,http://www.openphacts.org/units/Nanomolar,254265,=,1,True,=,,IC50,nM,,36000.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,36.0
,224991,[],CHEMBL714146,Compound was tested in vitro for cytotoxicity against MiaPaCa-2 cell lines from pancreas adenocarcinoma.,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2NO)c(=O)n1,,,CHEMBL1131426,J. Med. Chem.,1998.0,,CHEMBL347737,,CHEMBL347737,5.40,False,http://www.openphacts.org/units/Nanomolar,288677,=,1,True,=,,IC50,nM,,4000.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,4.0
,228868,[],CHEMBL714146,Compound was tested in vitro for cytotoxicity against MiaPaCa-2 cell lines from pancreas adenocarcinoma.,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccn([C@H]2C[C@H](NO)[C@@H](CO)O2)c(=O)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131426,J. Med. Chem.,1998.0,,CHEMBL149829,,CHEMBL149829,,False,http://www.openphacts.org/units/Nanomolar,288678,>,1,True,>,,IC50,nM,,300000.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,300.0
,229604,[],CHEMBL714142,Inhibition of Mia PaCa-2 cell clonogenic assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4Cl)oc23)[C@H](O)C1,,,CHEMBL1133502,J. Med. Chem.,2000.0,,CHEMBL334881,,CHEMBL334881,4.52,False,http://www.openphacts.org/units/Nanomolar,254276,=,1,True,=,,IC50,nM,,30000.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,30.0
,239013,[],CHEMBL714146,Compound was tested in vitro for cytotoxicity against MiaPaCa-2 cell lines from pancreas adenocarcinoma.,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](NO)[C@H]2O)c(=O)n1,,,CHEMBL1131426,J. Med. Chem.,1998.0,,CHEMBL341869,,CHEMBL341869,4.22,False,http://www.openphacts.org/units/Nanomolar,288681,=,1,True,=,,IC50,nM,,60500.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,60.5
,266446,[],CHEMBL707874,Cytotoxicity against human pancreatic carcinoma MIA PaCa-2 cell lines,F,,,BAO_0003036,BAO_0000219,cell-based format,CCCCCCCCCCCCC(O)[C@@H]1CC[C@H]([C@H](O)CCCCCCCCCC[C@H](O)CC2=C[C@H](C)OC2=O)O1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128154,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL15259,,CHEMBL15259,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,15468,=,1,False,=,,ED50,ug ml-1,,0.0015,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,ED50,ug ml-1,UO_0000274,,0.0015
,269512,[],CHEMBL762843,Concentration required to inhibit the colony formation of pancreatic human (PACA) cell lines by 50%,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCC(=O)OCOC(=O)C(C)(C)C,,,CHEMBL1133463,J. Med. Chem.,2000.0,,CHEMBL100014,AN-9,CHEMBL100014,4.52,False,http://www.openphacts.org/units/Nanomolar,187141,=,1,True,=,,IC50,nM,,30000.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,30.0
,273990,[],CHEMBL707874,Cytotoxicity against human pancreatic carcinoma MIA PaCa-2 cell lines,F,,,BAO_0003036,BAO_0000219,cell-based format,CCCCCCCCCCCCC(O)C1CC[C@H]([C@H](O)CCCCCCCCCC[C@H](O)CC2=C[C@H](C)OC2=O)O1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128154,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL2079607,,CHEMBL2079607,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,15465,=,1,False,=,,ED50,ug ml-1,,0.0153,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,ED50,ug ml-1,UO_0000274,,0.0153
,278118,[],CHEMBL762843,Concentration required to inhibit the colony formation of pancreatic human (PACA) cell lines by 50%,F,,,BAO_0000190,BAO_0000219,cell-based format,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,,,CHEMBL1133463,J. Med. Chem.,2000.0,,CHEMBL38,TRETINOIN,CHEMBL38,5.02,False,http://www.openphacts.org/units/Nanomolar,187139,=,1,True,=,,IC50,nM,,9500.0,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,IC50,uM,UO_0000065,,9.5
,278913,[],CHEMBL707874,Cytotoxicity against human pancreatic carcinoma MIA PaCa-2 cell lines,F,,,BAO_0003036,BAO_0000219,cell-based format,CCCCCCCCCCCCC(O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCC[C@H](O)CC2=C[C@H](C)OC2=O)O1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1128154,Bioorg. Med. Chem. Lett.,1995.0,,CHEMBL278245,,CHEMBL278245,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,15466,=,1,False,=,,ED50,ug ml-1,,0.0518,CHEMBL614725,Homo sapiens,MIA PaCa-2,9606,,,ED50,ug ml-1,UO_0000274,,0.0518
