,molecule_chembl_id,canonical_smiles,CHEMBL203,CHEMBL1957,CHEMBL2842,CHEMBL614725
0,CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0,0,0,0
1,CHEMBL101299,N[C@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c5ccccc5oc2c34)C1,0,0,0,1
2,CHEMBL101871,C[C@]1([C@H]2Cc3ccc4oc5c(N6CC[C@H](N)C6)c(F)cc6c(=O)c(C(=O)O)cn(c4c3O2)c56)CO1,0,0,0,1
3,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0,0,0,0
4,CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,0,0,0,0
5,CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,0,0,0,1
6,CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,1,0,0,0
7,CHEMBL106653,CC[n+]1c(/C=c2\s/c(=C3/Sc4ccccc4N3C)c(=O)n2-c2ccccc2)sc2ccccc21.Cc1ccc(S(=O)(=O)[O-])cc1,0,0,0,1
8,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0,0,0,1
9,CHEMBL1076746,c1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
10,CHEMBL1076804,c1ccc2c(-c3coc(C4CCNCC4)n3)c[nH]c2c1,0,0,0,0
11,CHEMBL1076939,COc1cc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)ccc1F,0,0,0,1
12,CHEMBL1078983,COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO,0,0,1,0
13,CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,0,0,0,0
14,CHEMBL1080272,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,0,0,0,0
15,CHEMBL1080506,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,0,0,0,0
16,CHEMBL108063,CCN1/C(=C/C=c2\s/c(=C\c3sc4ccccc4[n+]3CC)n(-c3ccccc3)c2=O)Sc2ccccc21.[I-],0,0,0,1
17,CHEMBL1080901,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],0,0,0,0
18,CHEMBL1083150,CNc1ccc(Nc2nccc(-c3sc(C)nc3C)n2)cc1,0,0,0,1
19,CHEMBL1083151,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,0,0,0,1
20,CHEMBL1083152,CNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,0,0,0,1
21,CHEMBL1083484,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)s1,0,0,0,1
22,CHEMBL1083785,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)n2)s1,0,0,0,1
23,CHEMBL1083786,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C)nc4C)n3)cc2)CC1,0,0,0,1
24,CHEMBL1084454,Cc1nc(C)c(-c2ccnc(Nc3ccc(N)cc3)n2)s1,0,0,0,1
25,CHEMBL1084629,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0,0,0,1
26,CHEMBL1084630,CCNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0,0,0,1
27,CHEMBL1084715,CCNc1nc(C)c(-c2ccnc(Nc3ccc(CNC(C)=O)cc3)n2)s1,0,0,0,1
28,CHEMBL1084969,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4C)n3)cc2)CC1,0,0,0,1
29,CHEMBL1085626,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0,0,0,1
30,CHEMBL1086088,CCNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,0,0,0,1
31,CHEMBL1086377,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,0,0,0,0
32,CHEMBL1086615,Cc1nc(-c2c[nH]c3ccccc23)co1,0,0,0,0
33,CHEMBL1086616,COc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1OC,0,0,0,0
34,CHEMBL1087018,c1ccc(Cc2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
35,CHEMBL1087019,Clc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
36,CHEMBL1087021,c1ccc2c(-c3cocn3)c[nH]c2c1,0,0,0,0
37,CHEMBL108793,CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\c1sc2ccccc2[n+]1CC.[I-],0,0,0,1
38,CHEMBL1088169,Oc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
39,CHEMBL1088170,C(=C/c1nc(-c2c[nH]c3ccccc23)co1)\c1ccccc1,0,0,0,0
40,CHEMBL1088181,Cn1cc(-c2coc(C3CCNCC3)n2)c2ccccc21,0,0,0,0
41,CHEMBL1088182,Cn1cc(-c2coc(-c3ccc(Cl)cc3)n2)c2ccccc21,0,0,0,0
42,CHEMBL1088315,COc1cc(-c2nc(-c3cn(C)c4ccccc34)co2)ccc1OCc1ccccc1,0,0,0,0
43,CHEMBL1088345,CC(C)(C)c1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,0,0,0,1
44,CHEMBL1088454,COc1cc(-c2nc(-c3c[nH]c4ccccc34)co2)ccc1O,0,0,0,0
45,CHEMBL1088734,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1)NO,0,0,0,1
46,CHEMBL1088735,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccc(O)cc3)nn2)c1)NO,0,0,0,1
47,CHEMBL1088741,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(=O)O)cn4)cc[nH]c3=O)nc12,0,0,0,0
