activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,316959,[],CHEMBL698354,Inhibition of Insulin-like growth factor I receptor at ATP <Km,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,,,CHEMBL1135889,J. Med. Chem.,2002.0,,CHEMBL281872,ZD-4190,CHEMBL281872,,False,http://www.openphacts.org/units/Nanomolar,35685,>,1,True,>,,IC50,nM,,20000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,20.0
,328361,[],CHEMBL698355,Inhibition of Insulin-like growth factor I receptor at ATP <Km,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,,,CHEMBL1135889,J. Med. Chem.,2002.0,,CHEMBL533849,,CHEMBL24828,,False,http://www.openphacts.org/units/Nanomolar,35684,>,1,True,>,,IC50,nM,,20000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,20.0
,586962,[],CHEMBL814329,In vitro inhibitory concentration of compound against Type 1 insulin like growth factor receptor,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,,,CHEMBL1149325,J. Med. Chem.,2004.0,,CHEMBL296468,BMS-387032,CHEMBL296468,,False,http://www.openphacts.org/units/Nanomolar,79536,>,1,True,>,,IC50,nM,,25000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,25.0
,653062,[],CHEMBL700885,Inhibition of IGF-receptor 1 autophosphorylation in intact cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,,,CHEMBL1146677,Bioorg. Med. Chem. Lett.,2004.0,,CHEMBL352308,,CHEMBL352308,,False,http://www.openphacts.org/units/Nanomolar,336059,>,1,True,>,,IC50,nM,,10000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,nM,UO_0000065,,10000.0
,685999,[],CHEMBL697504,Inhibition of Insulin-like growth factor I receptor,B,,,BAO_0000190,BAO_0000357,single protein format,CC(O)C(/N=C1/C=C(O)/C(=N\C(C(=O)O)C(C)O)C=C1O)C(=O)O,,,CHEMBL1145828,J. Med. Chem.,2003.0,"{'bei': '15.26', 'le': '0.30', 'lle': '5.79', 'sei': '2.90'}",CHEMBL327725,,CHEMBL327725,5.22,False,http://www.openphacts.org/units/Nanomolar,184695,=,1,True,=,,IC50,nM,,6000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,6.0
,702025,[],CHEMBL697504,Inhibition of Insulin-like growth factor I receptor,B,,,BAO_0000190,BAO_0000357,single protein format,CC(O)C(/N=C1\C(O)=CC(=O)C(O)=C1CC1CCCC2CCCCC21)C(=O)O,,,CHEMBL1145828,J. Med. Chem.,2003.0,"{'bei': '16.10', 'le': '0.31', 'lle': '3.21', 'sei': '4.95'}",CHEMBL442388,,CHEMBL442388,6.30,False,http://www.openphacts.org/units/Nanomolar,184696,=,1,True,=,,IC50,nM,,500.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,0.5
,703250,[],CHEMBL697504,Inhibition of Insulin-like growth factor I receptor,B,,,BAO_0000190,BAO_0000357,single protein format,COC1=CC(=O)C(N[C@@H](CO)C(=O)O)=CC1=O,,,CHEMBL1145828,J. Med. Chem.,2003.0,,CHEMBL319347,,CHEMBL319347,,False,http://www.openphacts.org/units/Nanomolar,184694,>,1,True,>,,IC50,nM,,50000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,50.0
,750642,[],CHEMBL698198,Inhibition of Insulin-like growth factor I receptor,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,,,CHEMBL1148336,J. Med. Chem.,2004.0,,CHEMBL115220,,CHEMBL115220,,False,http://www.openphacts.org/units/Nanomolar,215208,>,1,True,>,,IC50,nM,,10000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,nM,UO_0000065,,10000.0
,765676,[],CHEMBL699144,Inhibition of Insulin receptor kinase-beta,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,CHEMBL1136205,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '14.36', 'le': '0.26', 'lle': '2.35', 'sei': '9.65'}",CHEMBL388978,STAUROSPORINE,CHEMBL388978,6.70,True,http://www.openphacts.org/units/Nanomolar,193396,=,1,True,=,,IC50,nM,,200.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,0.2
,776806,[],CHEMBL699144,Inhibition of Insulin receptor kinase-beta,B,,,BAO_0000190,BAO_0000357,single protein format,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,,,CHEMBL1136205,Bioorg. Med. Chem. Lett.,2003.0,,CHEMBL103055,,CHEMBL103055,,False,http://www.openphacts.org/units/Nanomolar,193393,>,1,True,>,,IC50,nM,,100000.0,CHEMBL1957,Homo sapiens,Insulin-like growth factor I receptor,9606,,,IC50,uM,UO_0000065,,100.0
