molecule_chembl_id,canonical_smiles,pIC50,bioactivity_class
CHEMBL2321905,COC(=O)c1cc(-c2ccc(NC(=O)c3cc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cn3C)cc2)cn1C,11.886056647693163,active
CHEMBL2324630,COC(=O)c1cc(-c2ccc(NC(=O)c3nc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cn3C)cc2)cn1C,11.67778070526608,active
CHEMBL4176275,COc1c(Br)c2c(c(OC)c1OC)-c1cc3cc(CO)n(C)c3cc1[C@@H](NC(C)=O)CC2,10.0,active
CHEMBL2324627,CCOC(=O)c1nc(NC(=O)c2cc(-c3ccc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cc3)cn2C)cn1C,9.958607314841775,active
CHEMBL2324629,COC(=O)c1nc(NC(=O)c2cc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cn2C)cn1C,9.602059991327963,active
CHEMBL2324628,COC(=O)c1cc(NC(=O)c2cc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cn2C)cn1C,9.508638306165727,active
CHEMBL2324626,COC(=O)c1cc(NC(=O)c2cc(-c3ccc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cc3)cn2C)cn1C,9.468521082957745,active
CHEMBL2324625,COC(=O)c1cc(-c2ccc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cc2)cn1C,9.455931955649724,active
CHEMBL4458738,Cc1cc(N(C)c2ccc3c(c2)c2ccccc2n3C)c2ccccc2n1,9.327902142064282,active
CHEMBL4439731,CN(c1ccc2c(ccn2C)c1)c1nc(Cl)nc2ccccc12,9.207608310501746,active
CHEMBL450955,CCC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2cccc(OC)c2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@H](C=C(C)C)NC(=O)OC(C)(C)C)C(C)=C1C2(C)C,9.167491087293763,active
